Titlu,Descriere,Categorie
Concurs Studențesc Interactive Digital Media Student Contest,Universitatea Politehnica Timișoara prin Centrul Multimedia (înființat în 1996) organizează în data de 20 iunie 2015 Concursul Studențesc Interactive Digital Media Student Contest. Acțiunea se va desfășura în Sala Multifuncțională din cadrul Bibliotecii UPT. Interactive Digital Media Student Contest este o competiție studențească ce își propune să stimuleze creativitatea și spiritul de competiție în domeniul [...],EVENIMENT
Sesiune de Comunicări Științifice Studențești CCCTI,"Centrul de Cercetare în Calculatoare și Tehnologia Informației  organizează în data de 11-12 iunie 2015, ediția 2015, în cadrul celor 5 laboratoare de cercetare Sesiunea de Comunicări Științifice Studențești CCCTI 2015. Obiectivul principal al sesiunii este de a susține preocupările științifice ale studenților, precum și de a promova realizările deosebite ale acestora. Sesiunea se adresează [...]",DIDACTIC
"Simpozion Chimie Organică și Chimie Alimentară, Ediția a II-a","Facultatea de Chimie Industrială și Ingineria Mediului, departamentul de Chimie Aplicată și Ingineria Compușilor Organici și Naturali (CAICON) împreună cu Liga Studenților Chimiști din Timișoara organizează în data de 11 iunie 2015 “Simpozionul de Chimie Organică și Chimie Alimentară” ediția a II-a. Sesiunea este dedicată studenților masteranzi și doctoranzilor și se va desfășura în data [...]",DIDACTIC
Universitatea Politehnica Timișoara are un nou Academician,"Universitatea Politehnica Timișoara are un nou Academician. În cadrul ședinței desfășurată în data de 5 iunie 2015 la sediul Academiei Române,  prof. dr. ing. Dan DUBINĂ a fost ales membru titular al Academiei Române, Secția de Științe Tehnice. În perioada 2010 – 2015, profesorul Dan DUBINĂ a fost membru corespondent al Academiei Române. Academicianul Dan [...]",EVENIMENT
Universitatea Politehnica Timișoara – locul 1 în „Topul transparenţei universităţilor publice”,"Universitatea Politehnica Timișoara ocupă locul 1 în „Topul transparenţei universităţilor publice”, realizat de Societatea Academică din România, Alianța Națională a Organizațiilor Studențești din România și  Federația Studenților din Elveția (VSS – UNES – USU). Raportul indică gradul de transparență a celor 55 de universități din România, analizate în cadrul programului de cooperare elvețiano-român „Schimbarea mediului universitar [...]",EVENIMENT
Workshop studențesc de Inginerie Mecanică şi Medicală,"Miercuri, 10 Iunie 2015, Departamentul Mecanică și Rezistența Materialelor organizează cea de-a II-a ediție a Workshop-ului studențesc de Inginerie Mecanică și Medicală, dedicat studenților, masteranzilor și doctoranzilor. Locații și program eveniment: -          Clădirea Orologerie, sala 206, 17:00-21:00 &#8211; secțiunea Inginerie mecanică -          Clădirea SPM, sala 226, 17:00-21:00 &#8211; secțiunea Inginerie medicală [...]",DIDACTIC
"Sesiunea de comunicări studențești „Inginerie Integrată”, Ediția 2015","Centrul de Cercetare în Inginerie Integrată (CCII) organizează în data de 10 iunie 2015 sesiunea studențească de comunicări  “Inginerie Integrată”, ediția 2015. Obiectivul principal al sesiunii este de a susține preocupările științifice ale studenților, precum și de a promova realizările deosebite ale acestora. Sesiunea se adresează studenților de la ciclul licență și master din domeniul [...]",DIDACTIC
Școala de Vară Descoperă Contitech,"În perioada 20 iulie – 31 iulie 2015 se va derula proiectul de educație non-formală ŞCOALA DE VARĂ  DESCOPERĂ CONTITECH. Acest proiect se desfășoară în cadrul colaborărilor Universității Politehnica Timișoara, prin Centrul de Educație Permanentă, și S.C. CONTITECH ROMÂNIA S.R.L. Cei 15 participanți la această Școală de vară, studenți ai Facultății de Mecanică, au fost [...]",DIDACTIC
Studenții UPT participanți în cadrul Practicor EURO-REGIO în vizită de studiu la companii,"Între 6 &#8211; 10 iulie 2015, studenții implicați în programul Practicor Euro Regio vor face un număr de 7 vizite de studiu la companii din țară, vizite menite să îi informeze despre modul cum funcționează aceste companii și totodată care sunt oportunitățile de dezvoltare pentru angajați, respectiv care este profilul de angajat pe care îl [...]",CERCETARE - COOPERARE
CONFERINŢA de lansare a proiectului „Parteneriat dezvoltat pentru CONsilierea şi PRACTIca Studenţilor în vederea creşterii angajabilităţii lor – CONPRACTIS”,"Universitatea Politehnica Timișoara, în calitate de solicitant în cadrul proiectului cu titlul “Parteneriat dezvoltat pentru CONsilierea şi PRACTIca Studenţilor în vederea creşterii angajabilităţii lor &#8211; CONPRACTIS”, proiect cofinanţat din Fondul Social European prin Programul Operaţional Sectorial Dezvoltarea Resurselor Umane 2007-2013, „Investeşte în oameni!”, axa prioritară 2 „Corelarea învăţării pe tot parcursul vieţii cu piaţa muncii”, [...]",EVENIMENT
Universitatea Politehnica Timișoara are noi motive de mândrie din partea absolvenților săi,"Oana Stănescu, absolventă a Universității Politehnica Timișoara, Facultatea de Arhitectură, este un renumit arhitect în SUA, și recent a apărut într-un articol în prestigiosul jurnal american New York Times, prilej cu care a fost menționată și „Polytechnic University of Timisoara” ca instituție în care s-a format. Cea mai nouă creație a Oanei, datorită căreia a [...]",EVENIMENT
Profesorul Traian V. CHIRILĂ – Doctor Honoris Causa al UPT,"Joi, 1 octombrie 2015, ora 16:00, în Sala Mare a Senatului UPT va avea loc ceremonia decernării titlului academic de DOCTOR HONORIS CAUSA al Universității Politehnica Timișoara domnului Profesor dr. ing. Traian V. CHIRILĂ. Cu această deosebită ocazie, domnul Profesor Traian V. Chirilă va susține disertația “Silk proteins in ophthalmic regenerative medicine: Reconstruction of the [...]",EVENIMENT
Profesorul universitar emerit Alexandru  Nichici  la 80 de ani,"Fundaţia POLITEHNICA Timişoara și Departametul Maşini Mecanice, Utilaje şi Transporturi vă invită miercuri, 4 noiembrie a.c., de la ora 12, în Sala Mare a Senatului UPT (Piaţa Victoriei nr.2), pentru a fi martorii unui eveniment cu o  deosebită încărcătură sufletească din viaţa universitară timişoreană. Evenimentul, de înaltă ţinută intelectuală,  are un caracter aniversar şi  marchează  [...]",EVENIMENT
„Zilele Carierei” – ediția a VII-a,"Miercuri, 28 octombrie 2015, începe cea de a VII-a ediție a evenimentului „Zilele Carierei”. Evenimentul reunește oferta a 53 de companii care aduc  peste 2000 de oferte de practică, de elaborare a lucrării de diplomă și de angajare. Manifestarea este destinată  studenților, masteranzilor și absolvenților, dar și companiilor și instituțiilor de profil interesate să ofere [...]",EVENIMENT
Conferința finală a proiectului POS DRU PRACTICOR ® EURO-REGIO,"Luni, 26.10.2015 va avea loc conferința finală a proiectului „Parteneriat regional şi euro-regional pentru tranziția spre piața muncii prin consiliere pentru carieră şi stagii de practică la angajator –PRACTICOR ® EURO-REGIO” în sala 203, din cadrul facultății de Mecanică, Universitatea Politehnica Timișoara, situată pe B-dul Mihai Viteazul, nr. 1, începând cu ora 1400. Conferința se [...]",EVENIMENT
Prof. Jean Pascal CAMBRONNE – Profesor Onorific al UPT,"Facultatea de Electrotehnică și Electroenergetică organizează Joi, 22 Octombrie 2015, ora 11:00, festivitatea de decernare a titlului de PROFESOR ONORIFIC domnului Prof. univ. dr. ing. Jean Pascal CAMBRONNE de la Universitatea “Paul Sabatier” din Toulouse, Franța. Evenimentul va avea loc în Sala C219, Clădirea “Electro”, B-dul Vasile Pârvan nr. 2.",EVENIMENT
Studenţii UPT în contact cu piaţa muncii,"În această lună, studenţii Universităţii Politehnica Timişoara au participat la două concursuri menite să simuleze procesul de recrutare şi selecţie derulate de potenţiali angajatori. Concursurile au fost organizate în parteneriat cu operatori economici din Timişoara, studenţii având astfel posibilitatea de a se familiariza cu etapa premergătoare angajării. Cei mai bine pregătiţi şi mai activi dintre [...]",EVENIMENT
Conferință Academician Dan DUBINĂ,"Filiala Timişoara a Academiei Române organizează în ziua de 22 octombrie 2015, începând cu ora 17:00, în ciclul de evenimente Teme Academice, Conferința: Clădiri înalte în aglomerări urbane situate în zone seismice, o provocare pentru inginerul constructor. Conferința va fi suținută de Academicianul Dan DUBINA cu ocazia alegerii ca membru titular în ACADEMIA ROMÂNĂ. Evenimentul va [...]",EVENIMENT
Ediția a VI-a a Conferinței Internaționale „Advanced Materials and Structures – AMS 2015”,"În perioada 16 -17 octombrie 2015, Universitatea Politehnica va găzdui a șasea ediție a Conferinței Internaționale „Advanced Materials and Structures – AMS 2015”. Manifestarea științifică este organizată de Departamentul Ingineria Materialelor și Fabricației în colaborare cu Fundația Politehnica. Conferința va acoperi teme din domeniul Științei și Ingineriei Materialelor Avansate precum: tehnologii de fabricație, caracterizare de [...]",EVENIMENT
Simpozionul Internațional SIM 2015 – “Management During and After the Economic Crisis”,"La Universitatea Politehnica Timișoara are loc, în perioada 9-10 Octombrie 2015, Ediția a XIII-a a Simpozionul Internațional de Management SIM 2015 &#8211; &#8220;Management During and After the Economic Crisis&#8221;, organizat în parteneriat cu Universitatea de Vest din Timișoara. În cadrul evenimentului, în data de 9 Octombrie, începând cu ora 19:00, la Hotel Timișoara va avea [...]",EVENIMENT
Cariera ta începe azi!,"În data de 9 octombrie 2015 va avea loc la Universitatea Politehnica Timişoara cel de-al treilea eveniment Cariere de Succes intitulat „Cariera ta începe azi&#8220;, eveniment cu participarea a trei dintre cei mai valoroși absolvenți ai UPT, respectiv: Iuliu WINKLER – europarlamentar, membru în Comisia pentru Comerț Internațional și membru supleant în Comisia pentru Dezvoltare Regională, fost ministru [...]",EVENIMENT
Conferință Parteneriatul Trans-Atlantic pentru Comerț și Investiții (TIPP) – implicații pentru Romania – Europarlamentarul Iuliu WINKLER,"Fundația Politehnica organizează vineri, 9 octombrie a.c., o dezbatere în cadrul seriei de evenimente Colocviile Fundației, având ca temă Parteneriatul Trans-Atlantic pentru Comerț și Investiții (TIPP) &#8211; implicații pentru România. Evenimentul va avea loc în amfiteatrul A 101 din clădirea Electro, Bd. Vasile Pârvan nr. 2, cu începere de la ora 11:00 și îl are ca invitat [...]",EVENIMENT
Acces gratuit  la baze de date pentru instituțiile din proiectul Anelis Plus,"Ca instituție participantă la proiectul Anelis Plus, Universitatea Politehnica Timişoara beneficiază, până la sfârșitul anului și pe diferite intervale de timp, de acces liber la diferite baza de date. Mai multe detalii puteți găsi aici.",CERCETARE - COOPERARE
Conferința Comunicarea în relațiile diplomatice,"Marți, 24 Noiembrie a.c., Facultatea de Științe ale Comunicării organizează conferința Comunicarea în relațiile diplomatice, în Sala Polivalentă a BUPT, începând cu orele 16:00. Invitatul de onoare este Excelența Sa, domnul Tsushima Kanji, personalitate marcantă, fost ambasador al Japoniei la București ce va susține în fata studenților și a iubitorilor culturii nipone, prelegerea despre experiențele sale personale pe teme de mare [...]",EVENIMENT
Concurs ContiTech România – ediţia a doua,"Departamentul de Ingineria Materialelor și Fabricației/specializarea Tehnologia Construcțiilor de Mașini împreună cu compania Continental Automotive România organizează, joi, 12.11.2015,  concursul studențesc „ContiTEST”. Concursul  se va desfășura la Facultatea de Mecanică, în  corpul de clădire SPM, sala 126, ora 18:00 și se adresează studenților și masteranzilor din Facultatea de Mecanică. Programul concursului poate fi consultat aici. [...]",EVENIMENT
